Date : 2023-09-10 13:30:07
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase
Total : 316 files,  395830 codes, 2651 comments, 3982 blanks, all 402463 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| alapp    |        106 |    354,408 |          0 |      1,831 |    356,239 |
| XML      |          3 |     25,490 |          0 |          0 |     25,490 |
| AL       |        201 |     15,521 |      2,651 |      2,117 |     20,289 |
| HTTP     |          3 |        288 |          0 |         32 |        320 |
| JSON     |          2 |        122 |          0 |          0 |        122 |
| Markdown |          1 |          1 |          0 |          2 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                         |        316 |    395,830 |      2,651 |      3,982 |    402,463 |
| . (Files)                                                                                                                                                                 |          9 |     30,066 |          0 |        167 |     30,233 |
| docs                                                                                                                                                                      |          1 |         10 |          0 |          0 |         10 |
| old_app_codebase                                                                                                                                                          |         99 |    324,455 |          0 |      1,666 |    326,121 |
| src                                                                                                                                                                       |        204 |     15,809 |      2,651 |      2,149 |     20,609 |
| src\Page Ext FactBox                                                                                                                                                      |          1 |         51 |         10 |          8 |         69 |
| src\codeunit                                                                                                                                                              |          7 |      1,341 |        373 |        230 |      1,944 |
| src\enum                                                                                                                                                                  |         12 |        188 |         83 |         60 |        331 |
| src\http                                                                                                                                                                  |          3 |        288 |          0 |         32 |        320 |
| src\page                                                                                                                                                                  |         38 |      5,650 |        794 |        563 |      7,007 |
| src\page Ext                                                                                                                                                              |         79 |      2,137 |        676 |        533 |      3,346 |
| src\page role                                                                                                                                                             |          5 |        456 |         54 |         63 |        573 |
| src\query                                                                                                                                                                 |          6 |        432 |         44 |         39 |        515 |
| src\report                                                                                                                                                                |         12 |      3,116 |        188 |        409 |      3,713 |
| src\report ext                                                                                                                                                            |          1 |         20 |         22 |         11 |         53 |
| src\table                                                                                                                                                                 |         21 |      1,725 |        258 |        149 |      2,132 |
| src\table ext                                                                                                                                                             |         18 |        402 |        149 |         46 |        597 |
| src\xml port                                                                                                                                                              |          1 |          3 |          0 |          6 |          9 |
| translations                                                                                                                                                              |          3 |     25,490 |          0 |          0 |     25,490 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\README.md                                                                         | Markdown |          1 |          0 |          2 |          3 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8162038.app                  | alapp    |      4,267 |          0 |         21 |      4,288 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8170657.app                  | alapp    |      4,275 |          0 |         19 |      4,294 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8170718.app                  | alapp    |      4,301 |          0 |         25 |      4,326 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8311500.app                  | alapp    |      4,270 |          0 |         20 |      4,290 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9041135.app                  | alapp    |      4,273 |          0 |         27 |      4,300 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9041427.app                  | alapp    |      4,263 |          0 |         28 |      4,291 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9050754.app                  | alapp    |      4,304 |          0 |         25 |      4,329 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\app.json                                                                          | JSON     |        112 |          0 |          0 |        112 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\docs\info.json                                                                    | JSON     |         10 |          0 |          0 |         10 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.0.app        | alapp    |      1,520 |          0 |          4 |      1,524 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.1.app        | alapp    |      1,524 |          0 |          4 |      1,528 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.10.app       | alapp    |      1,882 |          0 |          6 |      1,888 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.11.app       | alapp    |      1,865 |          0 |         10 |      1,875 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.12.app       | alapp    |      1,857 |          0 |         10 |      1,867 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.14.app       | alapp    |      1,865 |          0 |         10 |      1,875 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.15.app       | alapp    |      1,835 |          0 |         10 |      1,845 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.16.app       | alapp    |      1,836 |          0 |          9 |      1,845 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.17.app       | alapp    |      1,817 |          0 |          8 |      1,825 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.18.app       | alapp    |      1,776 |          0 |          8 |      1,784 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.19.app       | alapp    |      1,809 |          0 |          7 |      1,816 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.2.app        | alapp    |      1,667 |          0 |          7 |      1,674 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.20.app       | alapp    |      1,799 |          0 |          9 |      1,808 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.21.app       | alapp    |      1,789 |          0 |         10 |      1,799 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.22.app       | alapp    |      1,803 |          0 |         12 |      1,815 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.23.app       | alapp    |      1,877 |          0 |          8 |      1,885 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.24.app       | alapp    |      1,827 |          0 |          9 |      1,836 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.25.app       | alapp    |      2,017 |          0 |         10 |      2,027 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.26.app       | alapp    |      2,057 |          0 |          7 |      2,064 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.27.app       | alapp    |      2,188 |          0 |         12 |      2,200 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.28.app       | alapp    |      2,267 |          0 |         10 |      2,277 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.29.app       | alapp    |      2,280 |          0 |          9 |      2,289 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.3.app        | alapp    |      1,669 |          0 |          7 |      1,676 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.30.app       | alapp    |      2,300 |          0 |          9 |      2,309 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.31.app       | alapp    |      2,302 |          0 |          8 |      2,310 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.32.app       | alapp    |      2,318 |          0 |         11 |      2,329 |
