Date : 2023-09-10 13:30:07
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase
Total : 87 files,  135482 codes, 214 comments, 870 blanks, all 136566 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| alapp    |         44 |    134,891 |          0 |        746 |    135,637 |
| AL       |         36 |        622 |        214 |         99 |        935 |
| HTTP     |          4 |        264 |          0 |         25 |        289 |
| XML      |          3 |       -295 |          0 |          0 |       -295 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                         |         87 |    135,482 |        214 |        870 |    136,566 |
| . (Files)                                                                                                                                                                 |         13 |      4,619 |          0 |         37 |      4,656 |
| old_app_codebase                                                                                                                                                          |         31 |    130,272 |          0 |        709 |    130,981 |
| src                                                                                                                                                                       |         40 |        886 |        214 |        124 |      1,224 |
| src\codeunit                                                                                                                                                              |          4 |        236 |         69 |         47 |        352 |
| src\enum                                                                                                                                                                  |          3 |         45 |         18 |         17 |         80 |
| src\http                                                                                                                                                                  |          3 |        288 |          0 |         32 |        320 |
| src\page                                                                                                                                                                  |         14 |       -226 |          7 |        -21 |       -240 |
| src\page Ext                                                                                                                                                              |          9 |         90 |         37 |         -1 |        126 |
| src\page role                                                                                                                                                             |          1 |        -48 |          0 |          0 |        -48 |
| src\query                                                                                                                                                                 |          2 |        136 |         12 |         13 |        161 |
| src\table                                                                                                                                                                 |          3 |        353 |         71 |         38 |        462 |
| src\table ext                                                                                                                                                             |          1 |         12 |          0 |         -1 |         11 |
| translations                                                                                                                                                              |          3 |       -295 |          0 |          0 |       -295 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7261250.app                  | alapp    |     -4,144 |          0 |        -27 |     -4,171 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7261348.app                  | alapp    |     -4,288 |          0 |        -21 |     -4,309 |
