Date : 2025-06-02 14:21:50
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST
Total : 319 files,  112477 codes, 5331 comments, 4279 blanks, all 122087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\DeleteBackOrders.Codeunit.al                         | AL                 |         21 |          0 |          3 |         24 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\JSONMethods.Codeunit.al                              | AL                 |         20 |          1 |          7 |         28 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\LTSautomate.Codeunit.al                              | AL                 |         59 |         21 |          6 |         86 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\OneTimeSetQuantityUpdate.Codeunit.al                 | AL                 |         26 |          6 |          4 |         36 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\PIMimages.Codeunit.al                                | AL                 |        141 |         50 |         30 |        221 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\RecursiveBOMCalculation.Codeunit.al                  | AL                 |        214 |        175 |         62 |        451 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\RestartAllJobqueue.Codeunit.al                       | AL                 |          9 |          0 |          3 |         12 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SalesComparisonUpdate.Codeunit.al                    | AL                 |        291 |        145 |         56 |        492 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\ScanpanMiscellaneous.Codeunit.al                     | AL                 |      1,168 |        257 |        140 |      1,565 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SubscriberCU.Codeunit.al                             | AL                 |        283 |        214 |         53 |        550 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SubscriberShipmondo.Codeunit.al                      | AL                 |        242 |        163 |         83 |        488 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\TESTCU.Codeunit.al                                   | AL                 |         63 |          5 |         20 |         88 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\AddressTypes.Enum.al                                     | AL                 |         16 |          6 |          5 |         27 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CampaignStatisticsDocTypes.Enum.al                       | AL                 |         16 |          6 |          3 |         25 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CountryMarketType.Enum.al                                | AL                 |         21 |          3 |          5 |         29 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CountrySalesChannelEnum.Enum.al                          | AL                 |         21 |          3 |          5 |         29 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVOrderState.Enum.al                                    | AL                 |         33 |          3 |          8 |         44 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVShipmentState.Enum.al                                 | AL                 |         20 |          3 |          7 |         30 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVTransportMode.Enum.al                                 | AL                 |         19 |          6 |          7 |         32 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVeDCOrderStates.Enum.al                                | AL                 |         26 |          3 |          8 |         37 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumChartDataType.Enum.al                                | AL                 |         20 |          3 |          8 |         31 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumControllingDocuments.Enum.al                         | AL                 |         16 |          8 |          1 |         25 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumGetBOMDetails.Enum.al                                | AL                 |         12 |          9 |          6 |         27 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumGetCoatingDescription.Enum.al                        | AL                 |         12 |          1 |          7 |         20 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumGetItem.Enum.al                                      | AL                 |         16 |          8 |          7 |         31 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumGetItemPurchasePrice.Enum.al                         | AL                 |         13 |          8 |          7 |         28 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumItemBodyType.Enum.al                                 | AL                 |         24 |          3 |          5 |         32 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumItemReferenceTypes.Enum.al                           | AL                 |         13 |          8 |          5 |         26 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumItemUnitOfMeasure.Enum.al                            | AL                 |         16 |          3 |          4 |         23 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumItemUnitOfMeasureCode.Enum.al                        | AL                 |         12 |          3 |          2 |         17 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumLogicalOperator.Enum.al                              | AL                 |         13 |          8 |          8 |         29 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumPostedDocumentType.Enum.al                           | AL                 |         12 |          6 |          2 |         20 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumProductionDateSelection.Enum.al                      | AL                 |         12 |          5 |          6 |         23 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumProductionOrderStatus.Enum.al                        | AL                 |         29 |          9 |          8 |         46 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\EnumTableType.Enum.al                                    | AL                 |         17 |          9 |         10 |         36 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\PeriodType.Enum.al                                       | AL                 |         24 |          6 |          7 |         37 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\http\DSVAPIGetOrder.REST_http.http                            | HTTP               |          7 |          0 |         11 |         18 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\http\DSVAPIOrders.REST_http.http                              | HTTP               |        253 |          0 |          8 |        261 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\http\DSVAPISearch.REST_http.http                              | HTTP               |         11 |          0 |         10 |         21 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\http\MYL-RestAPI.rest                                         | HTTP               |         34 |          8 |          4 |         46 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\http\REST_http.http                                           | HTTP               |         24 |          0 |          7 |         31 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext factbox\ItemPlanningFactBox.PageExt.al               | AL                 |         14 |          3 |          5 |         22 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext factbox\SalesLineFactBox.PageExt.al                  | AL                 |         51 |         10 |          8 |         69 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\BankAccountLedgerEntriesExtSC.PageExt.al             | AL                 |         15 |          7 |          1 |         23 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\BinContentsExtSC.PageExt.al                          | AL                 |        116 |          9 |         15 |        140 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CDOEMailRecipientsExtSC.PageExt.al                   | AL                 |         23 |          3 |          4 |         30 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CDOUnhandledPurchaseOrderExtSC.PageExt.al            | AL                 |         19 |         10 |          3 |         32 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CampaignCard.PageExt.al                              | AL                 |         16 |         11 |          6 |         33 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CampaignListExtSC.PageExt.al                         | AL                 |         23 |         12 |          4 |         39 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CapacityLedgerEntries.PageExt.al                     | AL                 |         19 |          3 |          6 |         28 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ChangeLogEntries.PageExt.al                          | AL                 |         19 |          3 |          5 |         27 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CountryRegions.PageExt.al                            | AL                 |         24 |          4 |          5 |         33 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CustomerCard.PageExt.al                              | AL                 |         73 |         14 |         14 |        101 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CustomerList.PageExt.al                              | AL                 |         39 |         11 |          7 |         57 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\CustomerLookupExtSC.PageExt.al                       | AL                 |         10 |         12 |          8 |         30 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\DefaultDimensions.PageExt.al                         | AL                 |         14 |          2 |          3 |         19 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\EmployeeQualifications.PageExt.al                    | AL                 |         15 |          0 |         12 |         27 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\FinishedProductionOrders.PageExt.al                  | AL                 |         30 |          3 |          7 |         40 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\FirmPlannedProdOrder.PageExt.al                      | AL                 |         17 |          3 |          6 |         26 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\FirmPlannedProdOrderLines.PageExt.al                 | AL                 |         19 |          0 |          6 |         25 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\FirmPlannedProdOrders.PageExt.al                     | AL                 |         14 |          3 |          5 |         22 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\FixedAssetCard.PageExt.al                            | AL                 |         14 |          3 |          5 |         22 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ForNAVReports.PageExt.al                             | AL                 |          7 |          9 |          5 |         21 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\GeneralJournalExtSC.PageExt.al                       | AL                 |         41 |          3 |          7 |         51 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\GeneralLedgerEntries.PageExt.al                      | AL                 |         13 |          0 |          4 |         17 |
