"filename", "language", "JSON", "AL", "alapp", "HTTP", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\FirmPlannedProdOrder.PageExt.al", "AL", 0, 17, 0, 0, 0, 0, 3, 6, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\FirmPlannedProdOrderLines.PageExt.al", "AL", 0, 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\FirmPlannedProdOrders.PageExt.al", "AL", 0, 14, 0, 0, 0, 0, 3, 5, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\FixedAssetCard.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 3, 5, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ForNAVReports.PageExt.al", "AL", 0, 7, 0, 0, 0, 0, 9, 5, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\GeneralJournalExtSC.PageExt.al", "AL", 0, 41, 0, 0, 0, 0, 3, 7, 51
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\GeneralLedgerEntries.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\GetShipmentLines.PageExt.al", "AL", 0, 16, 0, 0, 0, 0, 21, 8, 45
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\IDYSTranspOrderLstExtSC.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 31, 3, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\IDYSTransportOrderCard.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 41, 3, 44
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\IDYSTransportOrderLines.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 19, 2, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ITIIICDocumentLogEntriesExtSC.PageExt.al", "AL", 0, 19, 0, 0, 0, 0, 9, 3, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\InventorySetup.PageExt.al", "AL", 0, 65, 0, 0, 0, 0, 9, 3, 77
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemCard.PageExt.al", "AL", 0, 12, 0, 0, 0, 0, 62, 7, 81
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemCrossReferenceEntries.PageExt.al", "AL", 0, 12, 0, 0, 0, 0, 3, 8, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemJournalExtSC.PageExt.al", "AL", 0, 23, 0, 0, 0, 0, 9, 5, 37
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemList.PageExt.al", "AL", 0, 77, 0, 0, 0, 0, 27, 14, 118
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemLookupExtSC.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 9, 10, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemPictureExtSC.PageExt.al", "AL", 0, 24, 0, 0, 0, 0, 10, 5, 39
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemReclassJournalExtSC.PageExt.al", "AL", 0, 8, 0, 0, 0, 0, 9, 4, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ItemReferenceEntries.PageExt.al", "AL", 0, 7, 0, 0, 0, 0, 9, 5, 21
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\JobQueueEntry.PageExt.al", "AL", 0, 44, 0, 0, 0, 0, 47, 5, 96
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\MOSLicensePlateContentExtSC.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 30, 5, 35
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\MachineCenterTaskList.PageExt.al", "AL", 0, 21, 0, 0, 0, 0, 0, 6, 27
