"filename", "language", "AL", "HTTP", "Markdown", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7200953.app", "alapp", 0, 0, 0, 0, 4092, 0, 0, 23, 4115
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7201511.app", "alapp", 0, 0, 0, 0, 4109, 0, 0, 23, 4132
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7241007.app", "alapp", 0, 0, 0, 0, 4140, 0, 0, 24, 4164
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7241500.app", "alapp", 0, 0, 0, 0, 4172, 0, 0, 19, 4191
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7251021.app", "alapp", 0, 0, 0, 0, 4125, 0, 0, 28, 4153
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7251129.app", "alapp", 0, 0, 0, 0, 4171, 0, 0, 28, 4199
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7251337.app", "alapp", 0, 0, 0, 0, 4123, 0, 0, 22, 4145
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7260954.app", "alapp", 0, 0, 0, 0, 4152, 0, 0, 25, 4177
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\Page Ext FactBox\SalesLineFactBox.PageExt.al", "AL", 51, 0, 0, 0, 0, 0, 10, 8, 69
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\CompanyTestDetection.Codeunit.al", "AL", 20, 0, 0, 0, 0, 0, 8, 6, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\PIMimages.Codeunit.al", "AL", 141, 0, 0, 0, 0, 0, 50, 30, 221
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\ScanpanMiscellaneous.Codeunit.al", "AL", 770, 0, 0, 0, 0, 0, 172, 122, 1064
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\SubscriberCU.Codeunit.al", "AL", 171, 0, 0, 0, 0, 0, 48, 20, 239
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\TESTCU.Codeunit.al", "AL", 3, 0, 0, 0, 0, 0, 26, 5, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\CampaignStatisticsDocTypes.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 6, 3, 25
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumControllingDocuments.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 8, 1, 25
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumGetBOMDetails.Enum.al", "AL", 12, 0, 0, 0, 0, 0, 9, 6, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumGetItem.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 8, 7, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumGetItemPurchasePrice.Enum.al", "AL", 13, 0, 0, 0, 0, 0, 8, 7, 28
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumItemCrossReferenceTypes.Enum.al", "AL", 13, 0, 0, 0, 0, 0, 8, 5, 26
